"fecha","total","agro","combustibles","manufacturas","otros","share_total","share_nocom","share_totalindex","share_nocomindex","t","share_totalfitted","share_nocomfitted"
"4-2007",2497750.36649,418157.83698,1002894.02868,1010475.22188,66223.27895,16.7413782654198,27.9731119575418,86.0640600961827,78.4779525383936,16,86.6790432891237,91.7819405004387
"5-2007",2727979.68124,485707.90203,971124.45208,1219170.14732,51977.17981,17.8046744765057,27.6464385891506,91.5302521599486,77.5614775627429,17,86.6707881075066,92.0037260009669
"6-2007",2114258.80481,463112.59264,642478.3158,961816.439380001,46851.45699,21.9042527616016,31.4661456717309,112.605359973878,88.2775820702532,18,86.6625329258896,92.2255115014952
"7-2007",2648146.55462,483059.06607,1170825.49366,940216.178719998,54045.81617,18.2414022829381,32.6983131044037,93.7753820161989,91.7344007984456,19,86.6542777442726,92.4472970020235
"8-2007",2621001.59894,516655.76131,1030985.72522,1007566.57193,65793.54048,19.7121497949085,32.4937486379449,101.336199306731,91.1604996710285,20,86.6460225626556,92.6690825025517
"9-2007",2523169.7825,483815.00703,955314.22514,992278.463020001,91762.08731,19.1748890774456,30.8583915628466,98.574249965287,86.5725412373124,21,86.6377673810386,92.89086800308
"10-2007",2623648.90677,526080.24949,923679.01061,1092853.75868,81035.88799,20.0514728983941,30.9464450328411,103.080591166673,86.8195733176028,22,86.6295121994216,93.1126535036083
"11-2007",3152652.84725,564645.92605,1241641.17679,1243255.43011,103110.3143,17.9101840071776,29.5469637772586,92.0726554462555,82.8933593260856,23,86.6212570178046,93.3344390041365
"12-2007",3227536.18563,564559.380909999,1323284.59177,1276507.50398,63184.70897,17.491961311653,29.6473104042735,89.9226566450473,83.17487958898,24,86.6130018361876,93.5562245046648
"1-2008",2842306.29301,522596.438119999,1269751.91939,962890.366320001,87067.56918,18.3863519355815,33.2323286804378,94.5205390408023,93.2325697935284,25,86.6047466545705,93.7780100051931
"2-2008",2822470.13903,599562.37981,1205445.51934,936749.638460001,80712.60142,21.2424702574905,37.0781231472494,109.203269160241,104.021861885769,26,86.5964914729535,93.9997955057213
"3-2008",3007287.67002,547516.720719999,1538373.15724,852105.235219998,69292.55684,18.2063301152815,37.2735592137213,93.5950830529327,104.57015348708,27,86.5882362913365,94.2215810062496
"4-2008",3365420.30016,639815.78131,1586454.62827,1041266.54588,97883.3447,19.0114673427144,35.965605824774,97.7341316801649,100.900718919484,28,86.5799811097195,94.4433665067778
"5-2008",3392614.99948,584514.83337,1734713.64699,985135.338759997,88251.18036,17.2290352267968,35.2563095803087,88.5710064995717,98.9108038505675,29,86.5717259281025,94.6651520073061
"6-2008",3675654.33241,579958.3761,2060835.7198,965770.000440001,69090.23607,15.778370968843,35.9147690998325,81.1134331805458,100.758097601798,30,86.5634707464855,94.8869375078344
"7-2008",3801685.22621,654291.18576,1920787.48952,1124960.81765,101645.73328,17.2105565513187,34.7861115996354,88.476011343759,97.5916737206436,31,86.5552155648685,95.1087230083626
"8-2008",3294187.14665,555298.29502,1727498.58933,927573.792069999,83816.47023,16.8569140215578,35.4440767710655,86.6580061920105,99.4375805891316,32,86.5469603832515,95.3305085088909
"9-2008",3133994.12607,492365.39796,1688060.53,847184.384070001,106383.81404,15.7104760938854,34.0517295744585,80.7643992774862,95.5313810437202,33,86.5387052016345,95.5522940094192
"10-2008",2981105.31789,490454.57077,1321934.73153,1065951.43458,102764.58101,16.4521047890096,29.5602257418264,84.576963307418,82.9305654770314,34,86.5304500200175,95.7740795099474
"11-2008",2245378.72653,403639.11527,804030.16423,969009.442070001,68700.00496,17.9764380280641,28.0042680741917,92.4132540484006,78.5653603408378,35,86.5221948384004,95.9958650104757
"12-2008",2224271.00993,512615.30374,645168.34284,991679.731610001,74807.63174,23.04644089913,32.4624430332106,118.477119571619,91.0726724830397,36,86.5139396567834,96.217650511004
"1-2009",2525697.89287,508566.20237,1196619.87774,748032.55719,72479.25557,20.1356703747377,38.2645861703051,103.513433466101,107.350457894438,37,86.5056844751664,96.4394360115322
"2-2009",2340117.62253,516327.71408,815529.97539,859625.82547,148634.10759,22.0641778476834,33.8667124221155,113.427502691235,95.0123194776561,38,86.4974292935494,96.6612215120605
"3-2009",2711332.10826,598732.93433,1146272.69872,840221.884809999,126104.5904,22.0826114405526,38.2562432250402,113.522266086419,107.327051944341,39,86.4891741119324,96.8830070125887
"4-2009",2427570.789,525857.63525,1091223.22828,708291.75722,102198.16825,21.6618867566214,39.3503644341355,111.359405065794,110.396585017706,40,86.4809189303154,97.104792513117
"5-2009",2742518.91544,547600.05298,1346031.78572,755893.613139999,92993.4636,19.9670474430309,39.2126816872129,102.646576872938,110.010319088669,41,86.4726637486984,97.3265780136453
"6-2009",2738083.18582,454032.27777,1397654.61739,784054.012880001,102342.27778,16.5821213950454,33.8721725620779,85.2453525414445,95.0276377806564,42,86.4644085670814,97.5483635141735
"7-2009",2898600.4097,550168.846230001,1444123.77126,778622.660290002,125685.13192,18.9804998436105,37.825897762104,97.5749339927549,106.119727179521,43,86.4561533854643,97.7701490147018
"8-2009",2673469.50081,411719.98845,1492954.92985,654620.67071,114173.9118,15.4002126571954,34.8763156828456,79.1693973225939,97.8447392991779,44,86.4478982038473,97.9919345152301
"9-2009",2795983.21478,480612.22577,1421341.16214,747452.950110001,146576.87676,17.1893816539888,34.9627181015585,88.3671554534353,98.0871393912821,45,86.4396430222303,98.2137200157583
"10-2009",2948686.54123,442132.27999,1634872.26739,723569.445720003,148112.54813,14.9942109413085,33.6525708993663,77.0822241208858,94.4115501287071,46,86.4313878406133,98.4355055162866
"11-2009",2861294.47983,412282.7516,1593832.44249,673064.189320002,182115.09642,14.4089591094621,32.5282130315517,74.0735621081844,91.2571887719709,47,86.4231326589963,98.6572910168149
"12-2009",3182972.04992,522529.80579,1715192.68497,735652.124110003,209597.43505,16.416412007235,35.6000239727992,84.393473891735,99.8750870458578,48,86.4148774773793,98.8790765173431
"1-2010",2913433.47669,452935.223960001,1758454.13083,555904.658150001,146139.46375,15.5464412550991,39.2158721784539,79.9211291476705,110.019269941923,49,86.4066222957623,99.1008620178714
"2-2010",2869156.14938999,399571.421829999,1676992.62314,646725.930369999,145866.17405,13.9264439098218,33.5164944264711,71.5930484682208,94.0297905662505,50,86.3983671141453,99.3226475183996
"3-2010",3337903.21065999,580528.622540001,1808513.9373,773100.951729997,175759.69909,17.3920148638826,37.958198913257,89.4088520495755,106.49089515957,51,86.3901119325283,99.5444330189279
"4-2010",3490978.02812001,468546.819109999,2068196.27919,782843.573670002,171391.35615,13.4216490432145,32.9317423042828,68.9979995393243,92.389281302874,52,86.3818567509113,99.7662185194562
"5-2010",3513330.82437999,497671.80891,2014658.81015,824952.50766,176047.69766,14.1652418683864,33.2075200033479,72.8206607669767,93.1629695936592,53,86.3736015692942,99.9880040199844
"6-2010",3060627.78506001,378817.636509999,1805933.08438,707752.886779999,168124.17739,12.3771220518594,30.192016934852,63.6282962609654,84.7030418227343,54,86.3653463876772,100.209789520513
"7-2010",3157625.9788,422562.18136,1933534.05031,663490.938109999,138038.80902,13.3822746644803,34.5204613742743,68.7955837737936,96.8463978353812,55,86.3570912060602,100.431575021041
"8-2010",3291236.01006002,442619.983650001,2059061.86307,648833.9629,140720.20044,13.4484425394315,35.9218690581394,69.135739517004,100.778016379225,56,86.3488360244432,100.653360521569
"9-2010",3271660.50625998,463097.7622,1831952.44563,786992.30188,189617.99655,14.1548232560778,32.1660880329697,72.767100775581,90.2412550247777,57,86.3405808428262,100.875146022097
"10-2010",3535758.62470998,490288.93582,2090417.70246,760803.164089997,194248.82234,13.8665838893405,33.9220268569412,71.2853201367546,95.1675029122891,58,86.3323256612092,101.096931522626
"11-2010",3426094.59351002,521532.74938,2020879.91757,692006.298820002,191675.62774,15.2223686516983,37.1140978179096,78.2551370428138,104.122788035885,59,86.3240704795922,101.318717023154
"12-2010",3845531.2128,638551.833569998,2126362.75413,785010.852489999,295605.77261,16.6050357735897,37.1430635752822,85.3631507549986,104.204050833381,60,86.3158152979751,101.540502523682
"1-2011",3760176.35797002,588982.893090001,2399325.02693,624659.399759997,147209.03819,15.6637039600975,43.2804730138946,80.5239531404163,121.422418505993,61,86.3075601163581,101.762288024211
"2-2011",3958571.52815,571449.613450001,2490213.55224,711033.54625,185874.81621,14.4357531343399,38.9175952203243,74.2113048036033,109.182460472926,62,86.2993049347411,101.984073524739
"3-2011",4893312.43380996,700710.074020001,3073929.90302,904366.240690001,214306.21608,14.319749321104,38.513619987093,73.6149525203304,108.049116809613,63,86.2910497531241,102.205859025267
"4-2011",4823093.80906001,643430.925899999,3174020.03896,789603.724460001,216039.11974,13.3406263981708,39.0177163427308,68.5814784093643,109.463348087583,64,86.2827945715071,102.427644525795
"5-2011",5153709.93975002,666435.850070001,3456528.52213,801352.688220003,229392.87933,12.9311866182039,39.2672134605712,66.476630811385,110.163306783708,65,86.2745393898901,102.649430026324
