"fecha","Agro","Combustibles","Manufacturas","Otros"
"7-2012",595613.42345,3248531.05687,843533.621720005,289226.63046
"8-2012",583745.292129999,2788859.3519,895737.13395,302437.99783
"9-2012",506441.39866,3255272.78291,831409.240840003,317279.73437
"10-2012",576573.35368,3643932.21572,874052.847840003,338372.05267
"11-2012",551989.74895,3062841.83945,908122.798970001,284383.94439
"12-2012",480716.93886,3376174.11002,802495.269460001,292241.2507
"1-2013",505893.75889,3290902.35697,749621.109369999,302779.25963
"2-2013",520741.732199999,3070433.76008,831032.613380004,245559.33469
"3-2013",526412.53693,3069346.56249,767030.874749995,255052.52263
"4-2013",661266.383720001,3157208.94516,889825.728909996,241185.57338
"5-2013",610392.849309999,3545217.54038,985415.581339998,191443.73475
"6-2013",544562.95428,3325816.54224,822531.460580001,177927.99531
"7-2013",529142.921290001,3142914.03532,825659.80903,154580.08462
"8-2013",556947.44691,3568929.24371,740143.40726,111685.71106
"9-2013",515083.69055,3356513.86417,820769.027729998,157629.22386
"10-2013",550394.81086,3262433.76551,889041.386020002,136113.32928
"11-2013",572076.51543,3429825.38258,805903.53286,140859.67326
"12-2013",587418.23613,3705943.08685,818472.66026,160288.45266
"1-2014",496110.66495,3554978.82316,636234.476430001,121507.8891
"2-2014",595890.81658,2812865.01172,736736.301010001,125950.02126
"3-2014",557086.991669999,2939245.21627,746075.897290003,165772.92867
"4-2014",640583.171160001,2833773.77945,713929.309190004,128389.54849
"5-2014",736007.128319999,3820660.8749,811259.342139999,127939.18048
"6-2014",604038.43498,3258869.53411,719824.103260004,122082.41932
"7-2014",653973.323420001,3343497.08963,912871.86833,138588.1384
"8-2014",616495.78481,3263028.38845,817102.528859999,116463.87854
"9-2014",630800.172069998,3437872.36574,862605.439859995,145969.5197
"10-2014",597311.75275,2771778.59699,826702.548389996,126484.74421
"11-2014",637713.09583,2284603.67446,771892.786770001,100476.48318
"12-2014",577030.809859999,2201974.70485,835581.964000001,180123.0436
"1-2015",626019.426989998,1603209.04604,591408.896840002,96338.74628
"2-2015",636706.826189999,1821877.061,664958.111399997,37414.71586
"3-2015",623904.60254,2041249.435,707761.32861,89028.14863
"4-2015",595880.83083,1802627.87719,706787.53291,114410.07769
"5-2015",584284.735690001,1993905.62959,733115.450030001,69777.7604
"6-2015",481214.64759,1819366.43618,799678.417400001,117148.15891
"7-2015",608181.25578,1586812.94735,745286.055209999,103497.76345
"8-2015",533163.40125,1555474.92104,675090.74105,104721.99531
"9-2015",625449.93594,1452753.48487,728338.403679997,91626.38618
"10-2015",552596.687730001,1509822.80972,660625.348730001,92477.16575
"11-2015",511273.058,1227965.48843,621434.846740001,83861.16058
"12-2015",555962.5982,1202726.0767,726585.867370001,103719.36658
"1-2016",433952.20618,923138.896049999,487422.6942,74539.33835
"2-2016",634163.66068,1021547.04113,582778.967090005,90232.91387
"3-2016",609666.014650002,1032040.74187,595090.327319999,98201.35763
"4-2016",694412.26193,1084946.11777,595973.70488,88460.85874
"5-2016",582965.91151,1405689.61664,662487.109410001,100327.77336
"6-2016",564851.49963,1510721.58831,627632.782639999,77305.77575
"7-2016",398591.98508,1320327.24702,460026.11106,88052.14369
"8-2016",515676.869169999,1582506.81241,825095.147059997,121098.56304
"9-2016",524663.86522,1397914.35573,693902.128450003,181206.1234
"10-2016",480854.15747,1431113.17069,682497.283249998,175549.48477
"11-2016",587726.020790001,1362766.55099,651850.22667,231279.2512
"12-2016",837224.228480001,1728854.28217,661351.649210004,249664.16467
"1-2017",537258.986280001,1637139.90096,486555.73567,124089.822
"2-2017",566750.293839999,1447487.9214,523154.857519999,178631.30297
"3-2017",787523.421040002,1691338.0343,643487.2104,174616.38596
"4-2017",552714.81584,1483407.7704,509614.80306,138707.89978
"5-2017",720054.910390002,1916451.40036,691552.382599997,177377.34528
"6-2017",601226.878249999,1441308.90899,663638.366019999,167502.07116
"7-2017",630958.814399999,1665159.23951,678997.642540002,127880.91268
"8-2017",629978.997819999,1695026.77498,732924.975409999,133666.90802
"9-2017",622067.995260001,1926695.43642,692336.016840003,130152.39153
"10-2017",584370.996899998,1829730.13088,704861.374759999,150605.84578
"11-2017",569718.71877,1676572.23172,718174.849490005,138185.27611
"12-2017",553023.312210001,2620060.51082,664692.590300002,143129.79423
"1-2018",682148.842420002,1987850.91852,595727.791039999,60912.87995
"2-2018",617659.712400001,1634202.06119,620610.487700002,128396.79936
"3-2018",635807.745989999,1934093.54366,678867.088900002,117183.04995
"4-2018",673927.088769999,2237302.94129,751507.31422,122022.68858
"5-2018",692528.009799999,2105633.37198,754599.014869997,128238.77634
"6-2018",591486.265380001,1908205.38615,714617.231660003,120561.27815
"7-2018",574750.04602,2225414.26188,705461.002709999,127280.60541
"8-2018",628867.94057,2118523.88519,730207.305929998,133637.1534
